x,y
1,-0.91
2,-0.91
3,-0.91
4,-0.91
4.983,-0.91
6,-0.91
8,-0.91
10.842,-0.91
11,-0.91
15,-0.91
17.652,-0.91
18.542,0.5
18.542,2
18.542,3
18.542,6
18.542,7
18.542,8
18.542,9
